Date,QQQ,XLK,VGT,FDN,IYW,IXN,XT,IGV,QTEC,FTEC,FXL,KWEB,SKYY,HACK,RYT,IGM,ARKK,ROBO,SOXX,SMH,TDIV,CIBR,SOXL,PNQI,TECL,CQQQ,ARKW,XNTK,IPAY,EMQQ,PSCT,PSJ,ROM,XSD,PSI,IEUS,SOCL,XSW,PTF,SOXS,JHMT,ITEQ,PXQ,ISRA,IGN,USD,TECS,SSG,SCID,REW
20151231,111.8700,42.8590,108.2700,74.6300,107.0200,97.8500,24.9000,103.7000,42.6400,32.8095,33.2300,,29.9800,25.9800,92.3300,110.5700,,24.3500,89.7600,53.3600,25.3500,17.7400,26.7500,80.1200,36.4300,36.2100,,53.8778,,,52.2700,42.2700,39.1300,43.7082,25.1800,45.6400,19.9700,50.2589,39.6900,201.0500,,,34.4600,28.8000,36.8500,14.3617,155.4500,83.1200,23.5100,45.9200
20160129,104.2600,41.3150,102.0600,66.2000,101.0600,92.5900,22.8100,95.0300,39.4200,30.9366,30.2600,,27.3800,22.4900,85.6900,103.3500,,21.8400,83.0500,49.7700,24.0100,15.7600,20.5600,71.1400,31.9400,31.5000,,48.9746,,,49.9200,38.9200,34.6100,41.3869,23.7900,41.7600,18.3000,45.0300,36.1000,239.8500,,21.4700,30.5500,26.8900,32.8600,12.0700,167.0000,95.2000,22.0000,50.3700
20160229,102.5700,41.0057,101.0100,65.3800,99.7700,91.6100,22.7600,92.9800,39.8300,30.6261,30.5300,,27.4200,22.0900,87.0300,102.3600,,22.6500,84.4600,50.4100,24.7800,15.7500,21.1500,71.6700,30.8600,31.2700,,48.9315,,,51.7100,39.6900,33.5800,41.6064,23.4200,41.7000,17.3400,44.8109,34.7600,218.2500,,22.2100,31.6800,26.5900,35.0700,11.8350,167.4000,94.5800,21.7300,50.9800
20160331,109.1700,44.3624,109.5200,68.2400,108.4900,100.0300,24.1800,100.6600,42.9300,33.2064,32.9600,,29.5900,23.9800,93.7900,110.6400,,24.8100,91.6300,55.0600,26.9100,16.9800,27.0200,75.7800,39.3900,34.2800,,52.6643,,,55.1100,42.1700,39.8450,44.5287,25.8100,45.1700,18.4500,47.7650,37.1900,166.0000,,23.8900,33.8900,27.9400,36.5700,13.7783,128.6500,80.0800,23.2700,42.4600
20160429,105.7500,42.1457,104.3900,69.4600,102.3000,95.4500,24.2800,100.4000,40.9100,31.6545,31.7100,,29.2400,23.8500,90.0200,107.1000,,25.1800,87.3700,52.4800,25.5000,16.8400,23.1600,76.4800,33.5600,34.3300,,51.6625,,,53.9200,42.2000,35.3350,42.3732,24.5000,45.7700,18.8000,48.6874,36.1600,187.3500,,23.6300,33.6500,27.2700,35.5800,12.5517,148.8000,86.8400,23.5200,47.5000
20160531,110.4300,44.2249,110.0600,73.1500,108.1800,99.8200,24.9100,106.2000,43.9600,33.3698,33.4800,35.2900,31.0900,24.2700,95.4600,112.8500,,25.4300,94.9500,56.8600,26.6400,17.4000,29.4400,78.7500,38.5500,34.2800,,54.1924,,,56.2100,44.3000,39.4150,45.4215,26.8100,46.3800,20.0000,50.9653,37.6400,142.7500,,23.9400,34.0400,27.1600,35.8900,14.6367,127.6000,73.4800,23.5600,42.2200
20160630,107.5800,43.3810,107.0300,72.1100,105.2200,97.3000,24.3600,105.1500,43.3900,32.4425,33.0100,33.6000,29.9800,23.8800,94.0100,109.9600,,25.0200,93.7600,57.0200,26.6100,17.2000,27.9100,76.7300,36.4700,33.6400,,52.6319,,,55.5400,44.2400,37.3000,44.4754,26.4800,41.4400,20.9500,50.6018,37.8800,140.0000,,23.8000,33.2400,26.6600,34.9700,14.6483,130.6000,71.4000,22.0700,43.8000
20160729,115.2200,46.4346,115.2600,77.5100,114.1300,105.3500,25.9500,110.2400,46.6700,34.9306,34.8400,35.0100,32.4500,25.9600,100.4200,118.0800,20.6200,26.5400,103.9400,63.5000,28.6500,18.3100,37.5800,81.1300,44.5500,34.9300,24.1900,56.9084,,23.5900,59.2300,46.8600,43.7950,49.8797,29.7400,44.0300,22.0500,53.8423,40.1100,100.1000,,25.1800,36.9100,27.9000,37.1500,17.7000,105.8000,58.3200,23.1300,37.0600
20160831,116.4400,47.0082,117.8200,79.0900,116.5700,107.6900,25.9700,112.5500,49.1900,35.7098,35.9500,39.1600,33.6900,26.7700,103.1300,120.5700,20.6000,26.9100,108.8600,66.2000,28.8700,18.8100,43.0300,84.5700,46.0600,39.2600,24.4200,58.8362,25.2500,25.8800,61.4200,47.8000,45.6200,51.4453,31.6600,44.5300,23.6900,54.7368,40.5000,86.2500,29.8400,25.6100,38.1500,28.2300,39.0600,19.1800,101.7000,53.4800,23.2700,35.4400
20160930,118.7200,47.7808,120.3900,81.5800,119.0200,110.3700,26.3600,113.5600,50.8900,36.5093,36.7600,41.1900,34.1600,27.9100,105.4700,123.6900,22.1500,28.2500,113.0400,69.3600,29.3300,19.7700,48.1700,87.6000,48.5900,40.7700,25.6300,59.8932,24.9500,27.0200,63.4800,48.5000,47.6900,53.1758,32.7400,45.3900,25.1200,55.4996,41.4900,74.2000,30.5300,25.5800,40.1000,27.9300,40.9600,20.5850,94.5000,49.0600,23.6000,33.5800
